b1,b2,b3,b4,soil_type
76,103,118,88,3
80,107,118,88,3
80,95,100,78,4
80,95,100,78,4
80,91,100,78,4
80,91,100,74,4
80,95,104,74,4
76,87,100,74,4
76,87,91,74,4
71,83,87,67,4
68,83,87,67,4
68,79,87,63,4
68,79,87,67,4
71,83,87,67,4
84,103,104,85,3
88,107,118,88,3
88,107,118,92,3
88,107,118,92,3
88,103,113,88,3
88,103,108,85,3
88,112,118,92,3
92,112,118,96,3
92,112,113,88,3
97,107,113,88,3
88,103,113,92,3
88,95,104,81,3
84,99,104,81,3
56,61,87,78,5
76,83,91,74,7
71,79,79,67,7
68,75,79,67,7
56,54,71,63,5
79,107,109,87,3
79,95,100,79,4
79,95,96,75,4
79,95,100,75,4
75,91,96,75,4
75,91,96,71,4
71,87,89,67,4
71,79,81,62,4
67,75,85,71,4
84,99,109,87,3
84,103,109,83,3
88,107,104,87,3
84,99,109,83,3
88,103,109,87,3
88,107,109,87,3
88,107,113,87,3
88,107,109,83,3
88,95,100,83,3
88,99,100,79,3
79,95,100,79,3
84,99,104,83,3
71,75,85,67,7
71,75,81,67,7
82,104,104,85,3
82,104,108,85,3
74,91,92,70,4
78,87,84,70,4
74,87,92,70,4
78,87,92,66,4
70,83,88,70,4
70,83,84,66,4
70,79,88,66,4
46,34,122,125,2
86,104,108,85,3
86,104,104,81,3
86,100,96,81,3
82,100,108,81,3
82,96,100,81,3
82,96,104,81,3
82,100,104,85,3
74,75,88,66,7
70,79,88,66,7
83,103,114,86,3
79,99,105,83,3
79,95,101,79,4
83,95,93,75,4
79,91,93,72,4
75,91,97,75,4
67,81,86,64,4
46,34,119,131,2
83,99,105,83,3
87,108,114,86,3
96,108,114,90,3
92,108,110,90,3
92,108,110,86,3
92,103,110,83,3
92,103,110,86,3
92,108,110,90,3
83,103,105,86,3
83,99,101,79,3
79,95,101,79,3
83,99,105,83,3
83,95,101,79,3
79,99,105,83,3
87,99,105,83,3
83,103,105,79,3
71,77,86,68,7
82,102,105,83,3
82,92,93,76,4
78,92,97,73,4
42,37,119,129,2
44,37,119,136,2
44,34,119,133,2
82,102,110,83,3
89,106,114,87,3
89,111,110,87,3
89,106,114,90,3
89,106,110,87,3
89,106,114,90,3
85,106,114,87,3
85,111,114,87,3
89,106,105,87,3
85,102,110,83,3
82,102,105,83,3
89,106,114,87,3
82,97,105,80,3
67,79,82,65,7
76,102,102,79,3
80,94,94,72,4
72,81,94,72,4
